City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Benghazi,LY,32.1167,20.0667,78.71,69,0,11.63,clear sky
198,Abilene,US,32.4487,-99.7331,93.94,36,20,10.36,few clouds
199,Vostok,RU,46.4856,135.8833,59.27,99,99,2.04,light rain
200,Broome,US,42.2506,-75.833,89.2,50,100,16.11,overcast clouds
201,Torres,BR,-29.3353,-49.7269,79.83,81,96,6.17,overcast clouds
202,Ponta Do Sol,PT,32.6667,-17.1,75.7,79,3,7.29,clear sky
203,Taltal,CL,-25.4,-70.4833,60.71,78,9,5.19,clear sky
204,Harper,LR,4.375,-7.7169,75.45,76,100,8.97,overcast clouds
205,Laguna,US,38.421,-121.4238,98.96,34,0,9.22,clear sky
206,Mandan,US,46.8267,-100.8896,91.36,43,0,11.5,clear sky
207,Marsh Harbour,BS,26.5412,-77.0636,83.79,69,7,12.64,clear sky
208,Matara,LK,5.9485,80.5353,77.94,86,100,14.81,light rain
209,Berbera,SO,10.4396,45.0143,91.26,39,4,24.38,clear sky
210,Banjar,ID,-8.19,114.9675,73.58,90,89,6.22,overcast clouds
211,Tokur,RU,53.1333,132.9,50.92,96,94,4.29,overcast clouds
212,East London,ZA,-33.0153,27.9116,60.98,68,0,2.75,clear sky
213,Huarmey,PE,-10.0681,-78.1522,68.02,70,9,10.63,clear sky
214,Kushmurun,KZ,52.4503,64.6311,62.47,66,2,7.29,clear sky
215,San Borja,BO,-14.8167,-66.85,88.83,34,9,5.26,clear sky
216,Kaitangata,NZ,-46.2817,169.8464,43.47,90,96,2.84,overcast clouds
217,Katsuura,JP,35.1333,140.3,77.99,92,70,14.5,broken clouds
218,Rurrenabaque,BO,-14.4413,-67.5278,89.49,55,40,4.61,scattered clouds
219,Yantarnyy,RU,54.8717,19.9381,74.75,67,7,11.3,clear sky
220,Khatanga,RU,71.9667,102.5,50.09,84,100,13.53,overcast clouds
221,Northam,GB,51.0333,-4.2167,63.39,74,97,11.77,overcast clouds
222,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,4.61,broken clouds
223,Walvis Bay,NA,-22.9575,14.5053,59.95,67,0,5.75,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,47.39,83,100,8.21,overcast clouds
225,Aksarka,RU,66.5606,67.7975,42.8,81,29,2.42,scattered clouds
226,Sioux Lookout,CA,50.1001,-91.917,68.07,73,75,4.61,broken clouds
227,Sechura,PE,-5.5569,-80.8222,74.03,55,61,13.73,broken clouds
228,Osypenko,UA,46.9136,36.8253,65.05,60,39,6.98,scattered clouds
229,Coihaique,CL,-45.5752,-72.0662,34.41,86,75,6.91,broken clouds
230,Chicama,PE,-7.8447,-79.1469,61.34,59,97,8.37,overcast clouds
231,Tasiilaq,GL,65.6145,-37.6368,42.96,78,85,2.53,overcast clouds
232,Launceston,AU,-41.45,147.1667,41.34,91,6,1.01,clear sky
233,Khasan,RU,42.4308,130.6434,67.12,98,99,1.66,overcast clouds
234,Magalia,US,39.8121,-121.5783,95.11,22,0,3.0,clear sky
235,San Cristobal,VE,7.7669,-72.225,80.78,57,77,6.91,broken clouds
236,Makakilo City,US,21.3469,-158.0858,79.12,68,75,16.11,broken clouds
237,Constitucion,CL,-35.3333,-72.4167,59.05,71,3,9.35,clear sky
238,Kuala Lipis,MY,4.1842,102.0468,74.7,94,95,0.63,overcast clouds
239,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,26.46,few clouds
240,Matagami,CA,49.7502,-77.6328,66.31,88,100,14.97,overcast clouds
241,Zambezi,ZM,-13.5432,23.1047,66.83,39,80,5.14,broken clouds
242,Santa Barbara,US,34.7333,-120.0343,95.34,35,0,6.91,clear sky
243,Port Augusta,AU,-32.5,137.7667,47.61,90,100,4.7,overcast clouds
244,Camacha,PT,33.0833,-16.3333,69.22,68,75,13.8,broken clouds
245,Uusikaupunki,FI,60.8004,21.4084,64.63,89,84,12.57,broken clouds
246,Mount Isa,AU,-20.7333,139.5,47.16,42,0,9.69,clear sky
247,Canico,PT,32.6333,-16.85,74.71,78,20,17.27,few clouds
248,Anisoc,GQ,1.8658,10.7689,68.58,99,49,1.34,scattered clouds
249,Karratha,AU,-20.7377,116.8463,69.19,87,0,7.52,clear sky
250,San Policarpo,PH,12.1791,125.5072,81.91,81,99,7.52,overcast clouds
251,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,18.41,few clouds
252,Upernavik,GL,72.7868,-56.1549,46.58,93,100,12.75,light rain
253,Joroan,PH,13.4885,123.6189,79.54,85,10,4.56,clear sky
254,Bud,US,39.447,-86.1758,91.17,49,0,8.23,clear sky
255,Olga,RU,43.7444,135.2892,62.6,98,100,4.72,overcast clouds
256,Kastamonu,TR,41.5,33.6667,54.99,93,0,4.23,clear sky
257,Gogrial,SS,8.5332,28.1004,72.39,85,100,0.94,overcast clouds
258,Sorland,NO,67.667,12.6934,53.46,91,100,21.9,overcast clouds
259,Jaguarari,BR,-10.2639,-40.1958,71.69,63,67,9.6,broken clouds
260,Syedove,UA,47.0768,38.156,71.55,55,71,11.56,broken clouds
261,Norman Wells,CA,65.282,-126.8329,66.24,72,75,4.61,broken clouds
262,Lima,PE,-12.0432,-77.0282,68.9,68,100,6.91,overcast clouds
