City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Qaanaaq,GL,2022-07-20 20:27:58,77.484,-69.3632,41.13,81,100,4.34
123,Nishihara,JP,2022-07-20 20:27:56,26.1842,127.7558,83.48,89,98,6.91
124,Bonavista,CA,2022-07-20 20:27:59,48.6499,-53.1147,63.41,83,100,21.56
125,Hervey Bay,AU,2022-07-20 20:27:59,-25.2986,152.8535,63.12,74,100,23.8
126,Hobyo,SO,2022-07-20 20:28:00,5.3505,48.5268,75.67,80,15,25.93
127,Olafsvik,IS,2022-07-20 20:28:00,64.8945,-23.7142,51.24,75,99,11.86
128,Port Hueneme,US,2022-07-20 20:28:00,34.1478,-119.1951,100.2,67,0,14.97
129,Isangel,VU,2022-07-20 20:26:49,-19.55,169.2667,75.31,88,99,3.44
130,Ilulissat,GL,2022-07-20 20:27:03,69.2167,-51.1,48.67,60,100,4.99
131,Port Hardy,CA,2022-07-20 20:28:01,50.6996,-127.4199,59.18,82,20,6.91
132,Bereda,ES,2022-07-20 20:28:02,43.2686,-7.5406,64.42,97,30,7.14
133,Aransas Pass,US,2022-07-20 20:25:58,27.9095,-97.15,95.0,72,40,23.02
134,Novyy Urengoy,RU,2022-07-20 20:28:02,66.0833,76.6333,51.93,64,69,10.2
135,Newala,TZ,2022-07-20 20:28:03,-10.9431,39.2787,60.1,87,0,6.58
136,Lokosovo,RU,2022-07-20 20:28:03,61.1333,74.8167,59.16,69,99,1.12
137,Nanortalik,GL,2022-07-20 20:28:04,60.1432,-45.2371,52.07,80,15,13.82
138,Bambous Virieux,MU,2022-07-20 20:28:04,-20.3428,57.7575,68.25,73,75,12.66
139,Grindavik,IS,2022-07-20 20:28:05,63.8424,-22.4338,51.75,87,40,17.27
140,Vidim,RU,2022-07-20 20:28:05,56.4088,103.1106,51.62,91,84,3.11
141,Mahebourg,MU,2022-07-20 20:29:05,-20.4081,57.7,68.29,73,75,12.66
142,Acajutla,SV,2022-07-20 20:29:06,13.5928,-89.8275,87.4,59,95,5.97
143,Kidal,ML,2022-07-20 20:29:07,18.4411,1.4078,91.33,38,76,8.86
144,Chuy,UY,2022-07-20 20:28:09,-33.6971,-53.4616,59.27,88,0,7.58
145,Bua Yai,TH,2022-07-20 20:29:08,15.5855,102.4259,82.06,62,100,8.95
146,Aktau,KZ,2022-07-20 20:29:08,43.65,51.2,79.38,54,91,22.39
147,Pacific Grove,US,2022-07-20 20:29:09,36.6177,-121.9166,81.21,86,40,12.66
148,Fukue,JP,2022-07-20 20:29:09,32.6881,128.8419,80.91,92,100,17.05
149,Kashmor,PK,2022-07-20 20:29:10,28.4333,69.5833,92.39,60,30,15.79
150,Itupiranga,BR,2022-07-20 20:29:10,-5.1347,-49.3267,95.32,35,96,2.19
151,Mount Isa,AU,2022-07-20 20:29:11,-20.7333,139.5,49.77,43,0,1.14
152,Chipinge,ZW,2022-07-20 20:29:11,-20.1883,32.6236,55.8,88,43,5.08
153,Rio Gallegos,AR,2022-07-20 20:29:12,-51.6226,-69.2181,34.74,68,100,35.84
