City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
150,Colares,38.7992,-9.4469,68.76,69,2,20.0,clear sky
151,Souillac,-20.5167,57.5167,66.58,82,75,12.66,broken clouds
152,Tandlianwala,31.0333,73.1333,81.32,86,98,8.86,overcast clouds
153,Tura,25.5198,90.2201,75.29,96,100,4.12,overcast clouds
154,Komsomolsk,49.0097,33.6455,54.75,86,0,9.15,clear sky
155,Eirunepe,-6.6603,-69.8736,74.48,64,10,1.3,clear sky
156,Kidal,18.4411,1.4078,80.73,63,91,11.9,moderate rain
157,Sorland,67.667,12.6934,53.46,91,100,14.83,overcast clouds
158,Ola,59.5833,151.2833,79.14,80,51,6.62,broken clouds
159,Dikson,73.5069,80.5464,38.86,91,100,30.18,light rain
160,Waipawa,-41.4122,175.5153,45.14,94,100,30.4,overcast clouds
161,Dzaoudzi,-12.7887,45.2699,67.89,94,0,2.3,clear sky
162,Morant Bay,17.8815,-76.4093,85.62,80,15,9.69,few clouds
163,Kruisfontein,-34.0033,24.7314,49.89,92,11,6.76,few clouds
164,Saint-Pierre,-21.3393,55.4781,67.68,66,0,12.66,clear sky
165,Saint George,37.1041,-113.5841,106.63,15,0,13.8,clear sky
166,Port Shepstone,-30.7414,30.455,61.7,80,5,4.85,clear sky
167,Guerrero Negro,27.9769,-114.0611,76.32,56,9,17.11,clear sky
168,Conselheiro Lafaiete,-20.6603,-43.7861,55.89,91,0,3.67,clear sky
169,Vanavara,60.34,102.2797,64.08,64,15,6.17,few clouds
170,Venice,27.0998,-82.4543,87.82,74,0,8.05,clear sky
171,Hambantota,6.1241,81.1185,77.34,100,20,3.44,few clouds
172,Wajid,3.8093,43.2471,69.46,68,51,17.54,broken clouds
173,Gumla,23.05,84.55,76.98,83,100,2.66,overcast clouds
174,Iranshahr,27.2025,60.6848,89.35,57,10,6.29,clear sky
175,Visnes,59.3556,5.2242,57.81,88,100,14.97,overcast clouds
176,Husavik,66.0449,-17.3389,45.5,88,74,1.25,broken clouds
177,College,64.8569,-147.8028,70.07,49,75,12.66,broken clouds
178,Coquimbo,-29.9533,-71.3436,53.33,87,100,2.3,overcast clouds
179,Yar-Sale,66.8333,70.8333,53.38,61,93,13.67,overcast clouds
180,Stromness,58.965,-3.296,53.56,91,32,11.01,scattered clouds
181,Chicama,-7.8447,-79.1469,59.54,82,29,5.82,scattered clouds
182,Bairiki,1.3292,172.9752,82.4,89,75,6.91,broken clouds
183,Itoman,26.1247,127.6694,91.4,84,20,10.36,few clouds
184,Talcahuano,-36.7167,-73.1167,51.48,100,100,6.91,drizzle
185,Paraiso,9.8383,-83.8656,67.96,98,100,2.89,overcast clouds
