City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Moroni,KM,74.08,clear sky,-11.7022,43.2551,Hotel Les Arcades
285,Tezu,IN,76.24,light rain,27.9167,96.1667,Circuit House
287,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
290,Yuzhou,CN,77.22,overcast clouds,34.1628,113.4639,Hancheng Wen Yuan Ge Hotel
291,Myra,IT,86.47,clear sky,45.4358,12.1348,Villa Gasparini
292,Nieuw Amsterdam,SR,87.96,scattered clouds,5.8833,-55.0833,Hotel Stardust
294,Babu,CN,77.38,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
296,Robertsport,LR,77.63,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
297,Ribera,IT,81.61,clear sky,37.4984,13.2642,B&B Le Foglie D'Argento
299,Aksay,RU,70.25,few clouds,47.26,39.87,Chernaya Zhemchuzhina
304,Stettler,CA,75.74,broken clouds,52.3168,-112.7186,Ramada by Wyndham Stettler
306,Caravelas,BR,72.9,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
307,Itacarambi,BR,82.51,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
311,Meulaboh,ID,77.97,overcast clouds,4.1363,96.1285,Kost Pria
315,Biltine,TD,81.12,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
316,Kutum,SD,73.45,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
318,Garoua,CM,78.24,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
319,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
320,Muros,ES,70.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
321,San Marco In Lamis,IT,74.32,clear sky,41.7131,15.6399,Hotel Ristorante Rossemi
326,Kedgwick,CA,86.52,overcast clouds,47.6446,-67.3434,A la Belle Etoile
330,Havre-Saint-Pierre,CA,75.56,broken clouds,50.2334,-63.5986,Auberge Niapiskau
331,Pedro Juan Caballero,PY,87.76,clear sky,-22.5472,-55.7333,Hotel Pousada do Bosque
332,Port Blair,IN,79.41,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
333,Avila,ES,84.65,clear sky,40.5833,-5.0,El Carrascal
334,Ayni,TJ,78.67,clear sky,39.3941,68.5377,Dilovars Homestay
336,Les Cayes,HT,86.45,few clouds,18.2,-73.75,Villa Orphee
341,Saint-Max,FR,78.82,clear sky,48.7043,6.21,Hôtel Mercure Nancy Centre Place Stanislas
342,Bose,IT,83.79,clear sky,45.4612,8.0137,Locanda Borgo Antico
345,Beruwala,LK,78.51,overcast clouds,6.4788,79.9828,The Palms Hotel
348,Vao,NC,73.08,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
349,Sola,VU,80.22,broken clouds,-13.8833,167.55,Leumerus Bungalows
354,Guadalupe Y Calvo,MX,75.02,broken clouds,26.1,-106.9667,Hotel Pizarro
356,Gotsu,JP,73.98,broken clouds,35.0,132.2167,Yurusato
357,Tianpeng,CN,75.67,moderate rain,30.9866,103.9393,Shuangliu Love Home Business Hotel
358,Ushtobe,KZ,77.22,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
359,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
360,Ibotirama,BR,85.89,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
362,Nantucket,US,82.51,mist,41.2835,-70.0995,Jared Coffin House
363,Torbay,CA,78.89,broken clouds,47.6666,-52.7314,Gallows Cove
366,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
367,San Lorenzo,PY,86.94,clear sky,-25.3333,-57.5333,Canarias Hotel
368,Ntoum,GA,76.21,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
369,Matay,EG,85.06,clear sky,28.419,30.7792,Nag Aespen
370,Kaputa,ZM,70.18,few clouds,-8.4689,29.6619,Chelelwa Charlets
373,Asfi,MA,80.96,overcast clouds,32.2994,-9.2372,Hôtel Abda
375,Taiobeiras,BR,76.44,clear sky,-15.8078,-42.2331,Dallas Hotel
376,Colmar,FR,78.39,clear sky,48.0833,7.3667,Hotel Primo Colmar Centre
377,Salina Cruz,MX,89.73,overcast clouds,16.1667,-95.2,Amerik HOTEL
378,Gigmoto,PH,81.39,scattered clouds,13.7796,124.39,Cj's Travellers Inn
380,Ahuimanu,US,80.85,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
383,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
386,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
387,Kloulklubed,PW,83.03,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
391,Anta,IN,80.94,overcast clouds,25.15,76.3,Agnisaman Kendra
394,Shingu,JP,77.85,clear sky,33.7333,135.9833,Shingu UI Hotel
398,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
399,Hun,LY,83.14,clear sky,29.1268,15.9477,Alrwasi Hotel
403,Cozumel,MX,89.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
406,Dakar,SN,84.33,broken clouds,14.6937,-17.4441,Novotel Dakar
408,Hamadan,IR,76.08,clear sky,34.7992,48.5146,Parsian BuAli Hotel
412,Inhapim,BR,77.59,overcast clouds,-19.5492,-42.12,hotel Carreiro em Inhapim/MG
413,Maebaru,JP,78.48,broken clouds,33.55,130.2,Guest house Kotonoha
414,Altamura,IT,81.57,clear sky,40.8292,16.5537,B&B Federico Ii di svevia
415,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,Hotel Branco I
417,Muroto,JP,79.29,few clouds,33.2833,134.15,Oota Ryokan
418,Vanimo,PG,77.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
419,Manono,CD,75.61,clear sky,-7.3,27.4167,Hotel hewa bora
420,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
422,Pacific Grove,US,78.21,haze,36.6177,-121.9166,Lovers Point Inn
427,Los Alamos,US,88.56,light rain,35.8881,-106.307,Motel 6 Los Alamos NM
430,Bandarbeyla,SO,75.6,scattered clouds,9.4942,50.8122,JABIR HOTEL
431,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
433,Obzor,BG,71.82,clear sky,42.8167,27.8833,HVD Clubhotel Miramar
435,Alagoinha,BR,72.82,overcast clouds,-6.95,-35.545,Pousada Santa Ana
436,Yarmouth,US,88.65,broken clouds,41.7057,-70.2286,Blue Rock Resort
437,Hambantota,LK,79.27,light rain,6.1241,81.1185,Bungalow 63
438,Dunn,US,84.16,clear sky,44.95,-91.8835,Cedar Falls Acres
443,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
447,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
449,Tanggu,CN,76.96,clear sky,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
450,Tigzirt,DZ,78.69,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
453,Zhezkazgan,KZ,78.39,few clouds,47.8043,67.7144,Hotel Zumrat
454,Ajaccio,FR,77.05,clear sky,42.0,8.9167,Sole E Monte
459,Myitkyina,MM,75.94,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
460,Slave Lake,CA,71.58,broken clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
461,Galle,LK,78.24,light rain,6.0367,80.217,Amangalla
462,Lumphat,KH,72.3,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
465,Samandag,TR,84.72,clear sky,36.0842,35.9771,Anadolu Palace Hotel
467,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
470,Sampit,ID,73.83,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
473,Dingle,PH,77.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
476,Datong,CN,73.33,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
477,Kupang,ID,74.16,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
479,Luocheng,CN,75.16,overcast clouds,29.3848,104.0286,Luocheng Hotel
480,Kuryk,KZ,87.3,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
481,Toribio,CO,71.02,overcast clouds,2.9548,-76.2684,Casa de Huespedes Toribio
483,Pizarro,CO,77.92,light rain,4.9533,-77.366,Hotel Limonar
489,Luan,CH,72.23,clear sky,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
490,Half Moon Bay,US,84.54,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
493,Changli,CN,71.08,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
499,Vlore,AL,76.32,clear sky,40.4667,19.4897,Hotel Martini
500,Marsala,IT,85.95,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
501,Takoradi,GH,74.26,broken clouds,4.8845,-1.7554,Raybow International Hotel
504,Birecik,TR,85.21,clear sky,37.0294,37.9903,Birecik Ogretmenevi
506,Jining,CN,73.69,scattered clouds,35.405,116.5814,Yunhe Star Hotel
507,Tateyama,JP,79.11,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
512,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
514,Daigo,JP,73.13,overcast clouds,36.7667,140.35,Hotel Okukujikan
517,Ocos,GT,85.6,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
518,Odweyne,SO,71.37,clear sky,9.4092,45.064,Eng Hiirey House
519,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
520,San Quintin,MX,73.31,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
521,Jiaozuo,CN,77.94,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
525,Moerai,PF,71.49,scattered clouds,-22.4333,-151.3333,Le Manotel
527,Kazo,JP,82.89,overcast clouds,36.1167,139.6,Kazo Center Hotel
529,Chardara,KZ,84.52,clear sky,41.2547,67.9692,Жанаргул
530,Matinha,BR,85.78,clear sky,-3.1006,-45.0336,Hotel do Posto e Conveniência
532,Changji,CN,77.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
534,Safita,SY,73.65,clear sky,34.8205,36.1153,Safita Cham Hotel
537,Itoman,JP,84.58,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
538,Jalu,LY,81.1,clear sky,29.0331,21.5482,صاحبة الفخامة
541,Baisha,CN,76.68,overcast clouds,26.5222,110.9311,Xiangcun Old Place Hotel
542,Freiberg,DE,70.99,broken clouds,50.9167,13.3667,Hotel am Obermarkt
544,Balkanabat,TM,86.52,clear sky,39.5108,54.3671,Nebitchi Hotel
545,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
546,Rumford,US,87.35,broken clouds,44.5537,-70.5509,coastal rentals llc
547,Pangkalanbuun,ID,73.17,light rain,-2.6833,111.6167,Grand Kecubung Hotel
549,Rongcheng,CN,78.01,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
550,Catuday,PH,80.67,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
553,Florianopolis,BR,72.41,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
558,Wailuku,US,78.98,broken clouds,20.8911,-156.5047,Maui Beach Hotel
559,Dwarka,IN,82.89,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
562,Halifax,CA,85.89,fog,44.6453,-63.5724,Hotel Halifax
565,Constantine,DZ,85.41,few clouds,36.365,6.6147,Grand Hotel Cirta
566,Izumo,JP,76.95,light rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
567,Plauen,DE,70.36,clear sky,50.5,12.1333,DORMERO Hotel Plauen
568,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
570,Irpa Irpa,BO,84.2,overcast clouds,-17.7167,-66.2667,Alojamiento Sumaj
574,Olutanga,PH,82.24,overcast clouds,7.3106,122.8464,Morales Lodge
576,Pemba,MZ,74.1,scattered clouds,-12.974,40.5178,Guesthouse Samotina
577,Hamada,JP,73.13,overcast clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
578,Banda Aceh,ID,80.29,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
580,Bluefield,US,82.51,scattered clouds,37.2698,-81.2223,Economy Inn
581,Danville,US,84.87,overcast clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
583,Estevan,CA,75.54,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
584,Tabou,CI,75.34,overcast clouds,4.423,-7.3528,hotêl doufoulougou
590,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
592,Batticaloa,LK,80.58,overcast clouds,7.7102,81.6924,Grand Star Guest House
594,Fort-Shevchenko,KZ,77.49,overcast clouds,44.5086,50.263,Oasis hotel Bautino
595,Wajir,KE,76.15,clear sky,1.7471,40.0573,Mahatallah Hotel
599,Muli,MV,81.32,light rain,2.9167,73.5667,Medhufushi Island Resort
600,Loandjili,CG,70.59,few clouds,-4.7561,11.8578,Résidence ARCHANGE
601,Itarema,BR,82.65,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
602,Le Creusot,FR,70.66,clear sky,46.8071,4.4163,Hôtel Restaurant Jour & Nuit
604,Assiniboia,CA,76.82,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
606,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
607,Kiunga,PG,72.59,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
608,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
609,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
613,Areia Branca,BR,79.0,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
614,Tias,ES,73.08,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
616,Kieta,PG,77.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
617,Inongo,CD,72.61,scattered clouds,-1.95,18.2667,Hotel Du Lac
620,Tura,IN,75.25,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
622,Burley,US,89.56,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
624,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
625,Carutapera,BR,78.69,broken clouds,-1.195,-46.02,Lidera
626,Teano,IT,81.1,clear sky,41.2513,14.0665,The Refolo Receptions
629,Enkoping,SE,80.46,broken clouds,59.6361,17.0777,Best Western Hotel Park Astoria
631,Guerrero Negro,MX,78.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
632,Candido Mendes,BR,77.41,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
633,Antigonish,CA,84.38,broken clouds,45.6169,-61.9986,Claymore Inn and Suites
639,Wanning,CN,79.7,scattered clouds,18.8003,110.3967,Paradise Hotel
647,Goderich,CA,80.91,clear sky,43.7501,-81.7165,Harmony Inn
648,Cap-Aux-Meules,CA,71.65,few clouds,47.3821,-61.8597,Auberge Madeli
